DATE,GDPPOT
1970-04-01,5347.137426621308
1970-07-01,5389.231531937598
1970-10-01,5431.208643669215
1971-01-01,5474.87007906867
1971-04-01,5521.341641373812
1971-07-01,5569.31405166131
1971-10-01,5617.418731483026
1972-01-01,5664.390952910088
1972-04-01,5709.165368090846
1972-07-01,5752.679084228243
1972-10-01,5796.132944078367
1973-01-01,5841.03291586763
1973-04-01,5889.392812192868
1973-07-01,5939.380852894292
1973-10-01,5991.006667040293
1974-01-01,6043.397120672455
1974-04-01,6095.982936382176
1974-07-01,6147.694309144877
1974-10-01,6198.816224406326
1975-01-01,6248.917232720529
1975-04-01,6298.4327116076865
1975-07-01,6347.675316519736
1975-10-01,6396.919595825258
1976-01-01,6445.588479604985
1976-04-01,6494.429566085238
1976-07-01,6544.371352731758
1976-10-01,6594.937087377887
1977-01-01,6647.491698930122
1977-04-01,6701.716062884974
1977-07-01,6757.0967562431015
1977-10-01,6814.1531570700345
1978-01-01,6872.575345279892
1978-04-01,6931.925241334588
1978-07-01,6992.74508689625
1978-10-01,7054.840990784539
1979-01-01,7119.064398807631
1979-04-01,7181.644829231282
1979-07-01,7241.208245028411
1979-10-01,7296.781864358525
1980-01-01,7347.149549168098
1980-04-01,7391.46700811808
1980-07-01,7429.867945147332
1980-10-01,7470.008131567184
1981-01-01,7512.11129933645
1981-04-01,7560.539227980742
1981-07-01,7611.880792521194
1981-10-01,7666.119259547203
1982-01-01,7722.489798240562
1982-04-01,7780.375549942754
1982-07-01,7839.484376554082
1982-10-01,7899.930112733643
1983-01-01,7960.304811789574
1983-04-01,8022.2961828798
1983-07-01,8086.217728939871
1983-10-01,8152.89930992665
1984-01-01,8222.371869757519
1984-04-01,8294.655233715264
1984-07-01,8368.841866005307
1984-10-01,8444.488996893508
1985-01-01,8520.776500957843
1985-04-01,8597.529524582835
1985-07-01,8674.318459482858
1985-10-01,8750.702428211027
1986-01-01,8826.453132218017
1986-04-01,8901.68499377897
1986-07-01,8976.738814011691
1986-10-01,9051.447259571212
1987-01-01,9125.707602326183
1987-04-01,9199.50738407519
1987-07-01,9272.934427672935
1987-10-01,9346.699627107133
1988-01-01,9420.119450572343
1988-04-01,9494.034893815833
1988-07-01,9568.099297442566
1988-10-01,9642.593857538424
1989-01-01,9717.080217838988
1989-04-01,9791.538188786053
1989-07-01,9856.68941637144
1989-10-01,9932.27863322103
1990-01-01,10006.568518061174
1990-04-01,10079.193683426789
1990-07-01,10149.425927599625
1990-10-01,10217.225625724299
1991-01-01,10283.010879963522
1991-04-01,10346.859532717579
1991-07-01,10409.384121426967
1991-10-01,10471.642872616025
1992-01-01,10533.754722186617
1992-04-01,10596.596075537067
1992-07-01,10660.762526064991
1992-10-01,10725.823702416466
1993-01-01,10791.841303819188
1993-04-01,10859.658680230026
1993-07-01,10928.482735745143
1993-10-01,10998.28839890448
1994-01-01,11068.947189839353
1994-04-01,11140.343521101777
1994-07-01,11213.206264654
1994-10-01,11287.170028853692
1995-01-01,11361.822811563517
1995-04-01,11437.846726697
1995-07-01,11514.704122545112
1995-10-01,11593.611621701013
1996-01-01,11674.216233014653
1996-04-01,11760.113983771347
1996-07-01,11852.4657305572
1996-10-01,11951.077903825388
1997-01-01,12055.79474049288
1997-04-01,12165.991891986052
1997-07-01,12282.13962359006
1997-10-01,12403.091482098456
1998-01-01,12528.530888617106
1998-04-01,12658.992515858536
1998-07-01,12792.919917948158
1998-10-01,12930.454186030614
1999-01-01,13071.535334705317
1999-04-01,13215.180024333278
1999-07-01,13360.999676380283
1999-10-01,13508.997005238016
2000-01-01,13657.90971844553
2000-04-01,13802.557909996083
2000-07-01,13940.660485459983
2000-10-01,14071.40193345432
2001-01-01,14194.982061117891
2001-04-01,14311.539722786703
2001-07-01,14421.269310856645
2001-10-01,14525.225668496101
2002-01-01,14624.00334547519
2002-04-01,14719.438901074744
2002-07-01,14813.102098646215
2002-10-01,14905.535686049083
2003-01-01,14997.837108045062
2003-04-01,15090.807386325983
2003-07-01,15183.877363796682
2003-10-01,15278.388684793345
2004-01-01,15374.838882758811
2004-04-01,15472.994124038232
2004-07-01,15573.526926169097
2004-10-01,15675.558624075442
2005-01-01,15775.796136923085
2005-04-01,15873.169983958669
2005-07-01,15968.843339929685
2005-10-01,16062.035941635966
2006-01-01,16152.594087556377
2006-04-01,16240.797141806725
2006-07-01,16324.825212317573
2006-10-01,16404.43190398646
2007-01-01,16484.888028846122
2007-04-01,16566.649925173915
2007-07-01,16649.553222510956
2007-10-01,16732.836359592024
2008-01-01,16815.605755710523
2008-04-01,16895.89498163922
2008-07-01,16973.238277426874
2008-10-01,17046.57639205772
2009-01-01,17114.50017798746
2009-04-01,17178.410062824227
2009-07-01,17238.915827103265
2009-10-01,17297.998502211558
2010-01-01,17357.90598072023
2010-04-01,17419.58971646213
2010-07-01,17484.478311341583
2010-10-01,17551.856970377874
2011-01-01,17621.83311229873
2011-04-01,17694.289734496488
2011-07-01,17769.091548927314
2011-10-01,17845.433170509936
2012-01-01,17923.095226368296
2012-04-01,18002.35699627026
2012-07-01,18082.64574996694
2012-10-01,18163.79376867256
2013-01-01,18246.42137114204
2013-04-01,18329.440468379704
2013-07-01,18412.744840976095
2013-10-01,18496.9339613381
2014-01-01,18582.016790391182
2014-04-01,18667.80786379332
2014-07-01,18755.213029168317
2014-10-01,18843.338140242082
2015-01-01,18931.98108998837
2015-04-01,19021.10442842243
2015-07-01,19110.07094297624
2015-10-01,19198.658547372055
2016-01-01,19286.92528144557
2016-04-01,19375.15066769707
2016-07-01,19463.204573454474
2016-10-01,19551.31061719399
2017-01-01,19640.089472818603
2017-04-01,19730.297923277758
2017-07-01,19823.602552180768
2017-10-01,19919.84185253096
2018-01-01,20019.170108155347
2018-04-01,20121.719174325484
2018-07-01,20226.065825727994
2018-10-01,20331.49540934404
2019-01-01,20437.92215362585
2019-04-01,20545.449540277205
2019-07-01,20653.07745811881
2019-10-01,20758.053508750327
2020-01-01,20861.83925495967
2020-04-01,20965.14022286726
2020-07-01,21065.72918800921
2020-10-01,21167.08999680052
2021-01-01,21261.600036399403
2021-04-01,21355.977382899266
2021-07-01,21454.647379006667
2021-10-01,21558.240246488447
2022-01-01,21667.693840715187
2022-04-01,21780.14110580312
2022-07-01,21892.76660831518
2022-10-01,22004.679068190035
2023-01-01,22116.38
2023-04-01,22227.57
2023-07-01,22338.77
2023-10-01,22452.06
2024-01-01,22566.61
2024-04-01,22682.66
2024-07-01,22800.63
2024-10-01,22920.27
2025-01-01,23041.94
2025-04-01,23164.48
2025-07-01,23288.28
2025-10-01,23413.13
2026-01-01,23537.99
2026-04-01,23662.93
2026-07-01,23787.67
2026-10-01,23912.24
2027-01-01,24037.13
2027-04-01,24160.85
2027-07-01,24284.17
2027-10-01,24407.17
2028-01-01,24529.51
2028-04-01,24652.77
2028-07-01,24776.37
2028-10-01,24900.25
2029-01-01,25024.24
2029-04-01,25148.48
2029-07-01,25272.42
2029-10-01,25395.75
2030-01-01,25518.42
2030-04-01,25640.5
2030-07-01,25762.3
2030-10-01,25883.92
2031-01-01,26005.13
2031-04-01,26126.15
2031-07-01,26246.97
2031-10-01,26367.56
2032-01-01,26487.91
2032-04-01,26608.15
2032-07-01,26728.19
2032-10-01,26848.01
2033-01-01,26967.67
2033-04-01,27087.21
2033-07-01,27206.7
2033-10-01,27326.18
2034-01-01,27445.78
2034-04-01,27565.36
2034-07-01,27684.89
2034-10-01,27804.37
